날짜,평균,2호기,3호기,4호기,5호기,6호기,7호기,8호기,9호기,10호기,11호기,12호기,13호기,14호기
2021-11-01,86,48,99,47,94,66,66,97,68,98,116,80,118,118
2021-11-02,81,43,108,73,93,40,78,88,77,98,95,87,93,86
2021-11-03,81,58,107,87,105,79,71,18,78,106,98,70,80,96
2021-11-04,89,83,81,99,74,91,86,79,74,110,105,95,85,96
2021-11-05,75,57,61,82,57,88,78,71,73,91,84,78,86,75
2021-11-06,78,66,100,74,72,79,69,76,66,97,90,73,70,84
2021-11-07,88,66,107,82,87,75,95,81,102,95,96,74,99,88
2021-11-08,65,85,97,49,94,75,93,81,40,70,75,92, - , - 
2021-11-09,77,46,93,73,94,55,69,72,76,94,93,73,86,83
2021-11-10,96,92,111,98,94,101,96,89,99,101,92,78,106,94
2021-11-11,49,60,80,68,59,67,61,46,39,35,35,28,26,37
2021-11-12,66,73,99,67,71,65,69,59,63,60,71,49,58,60
2021-11-13,82,81,86,95,82,79,91,75,80,70,97,58,69,98
2021-11-14,89,81,80,80,83,83,90,77,100,95,112,75,96,107
2021-11-15,37,44,51,45,36,40,39,34, - ,43,36,32,41,35
2021-11-16,79,83,112,102,82,97,85,76, - ,94,88,61,73,78
2021-11-17,107,71,106,94,86,91,94,79,33,101,85,75,85,96
2021-11-18,82,75,85,81,66,93,74,72,78,103,100,72,90,75
2021-11-19,83,87,93,92,84,87,91,53,95,69,94,79,69,83
2021-11-20,85,93,104,89,78,102,90,68,73,86,95,80,74,74
2021-11-21,69,67,76,59,61,80,64,44,59,75,102,67,71,67
2021-11-22,75,81,92,73,78,90,71,53,79,78,90,69,54,64
2021-11-23,70,72,84,73,69,80,61,45,71,92,60,76,65,57
2021-11-24,92,92,104,98,86,97,96,74,79,106,84,92,96,88
2021-11-25,94,89,110,105,95,99,91,85,81,98,109,91,91,84
2021-11-26,93,97,106,98,96,101,86,81,77,102,106,77,90,87
2021-11-27,99,98,109,110,105,104,100,92,99,109,110,78,90,80
2021-11-28,105,108,116,118,111,97,106,97,94,97,117,88,106,111
2021-11-29,97,99,111,108,107,103,101,73,89,98,103,76,98,91
2021-11-30,96,79,107,106,92,75,92,91,82,105,115,91,109,98
2021-12-01,97,94,105,95,80,100,86,93,101,105,110,93,95,98
2021-12-02,98,91,114,100,104,110,95,105,101,106,111,82,69,87
2021-12-03,95,84,103,85,96,100,96,104,97,85,120,89,88,90
2021-12-06,59,60,68,65,64,52,57,57,66,59,63,52,59,40
2021-12-07,90,99,98,105,81,90,63,84,96,88,101,93,94,77
2021-12-08,93,97,96,109,98,105,79,93,83,91,99,93,94,76
2021-12-09,97,108,92,114,82,105,82,90,96,99,107,106,99,86
2021-12-10,99,105,106,115,106,106,95,96,98,94,117,77,90,77
2021-12-11,90,94,100,94,80,93,79,81,99,84,114,82,79,96
2021-12-12,83,84,100,86,101,89,56,86,90,71,100,67,71,76
2021-12-13,93,91,106,98,113,86,78,87,89,86,116,80,95,85
2021-12-14,95,97,105,114,120,103,95,95,84,74,108,58,93,83
2021-12-15,90,90,106,104,113,100,84,91,95,74,101,44,87,82
2021-12-16,86,90,106,88,98,107,99,94,90,54,93,49,80,74
2021-12-17,89,88,105,106,94,99,94,95,75,74,92,63,89,77
2021-12-18,85,80,95,93,90,92,77,87,80,66,95,78,94,80
2021-12-19,79,91,72,71,72,81,79,89,75,61,99,79,88,73
2021-12-20,79,91,72,71,72,81,79,89,75,61,99,79,88,73
2021-12-21,79,91,72,71,72,81,79,89,75,61,99,79,88,73
2021-12-22,81,76,83,93,81,82,87,79,89,80,79,69,56,96
2021-12-23,84,91,87,99,103,94,91,80,87,77,83,58,66,79
2021-12-24,87,103,94,103,91,93,90,80,70,73,97,68,75,96
2021-12-25,81,80,93,90,80,87,100,83,69,56,79,64,98,78
2021-12-26,89,85,94,104,90,79,99,81,93,78,74,84,105,86
2021-12-27,99,106,113,108,108,99,103,108,102,100,66,75,96,98
2021-12-28,108,109,116,118,118,107,115,100,100,115,104,81,110,108
2021-12-29,106,109,106,116,115,106,105,95,89,115,109,81,117,119
2021-12-30,103,109,104,112,106,101,107,94,103,108,98,88,105,104
2021-12-31,100,95,93,108,112,104,104,90,99,105,90,93,106,101
2022-01-01,103,106,89,105,114,104,93,97,110,102,97,102,108,112
2022-01-02,104,108,94,109,108,102,96,94,113,106,104,94,114,112
2022-01-03,100,98,104,114,103,99,97,100,108,98,97,72,102,111
2022-01-04,90,105,82,108,107,101,92,97,77,98,82,43,77,100
2022-01-05,77,91,83,108,101,90,85,82,75,55,83,23,42,88
2022-01-06,97,97,92,114,98,93,90,102,93,82,107,73,111,112
2022-01-07,98,98,88,95,88,91,97,96,102,95,108,92,119,109
2022-01-08,101,103,99,107,107,91,93,97,120,43,119,106,115,117
2022-01-09,86,103,99,104,101,91,90,105,112,2,83,73,45,111
2022-01-10,72,107,96,107,100,90,97,102,17,34,21,55,86,30
2022-01-11,74,102,103,102,103,95,89,102, - ,38,70,79,84, - 
2022-01-12,92,104,96,109,109,97,102,98,61,89,94,76,82,76
2022-01-13,96,106,95,109,106,105,92,99,84,72,87,91,99,108
2022-01-14,73,71,67,78,69,67,64,73,83,84,68,63,79,79
2022-01-15,87,74,91,93,93,93,65,71,105,102,76,53,104,105
2022-01-16,94,101,112,103,99,86,76,75,101,68,87,95,103,118
2022-01-17,88,98,99,101,97,81,70,87,82,79,90,84,104,69
2022-01-18,102,108,113,108,108,100,79,100,100,100,93,105,98,112
2022-01-19,92,92,101,99,68,88,96,80,88,101,90,93,84,113
2022-01-20,91,83,88,89,94,71,75,75,92,101,100,109,96,108
2022-01-21,105,101,107,101,104,98,97,105,106,107,98,115,114,117
2022-01-22,78,62,70,62,61,64,58,48,79,106,90,117,97,100
2022-01-23,99,86,100,89,91,87,83,78,97,115,119,114,106,120
