알람명,1차PNP 1식 픽업(로딩) 실패,1차PNP 2식 픽업(로딩) 실패,듀얼스테이지1 로딩 실패,듀얼스테이지2 로딩 실패,2차PNP 1식 픽업(로딩) 실패,2차PNP 2식 픽업(로딩) 실패,듀얼스테이지1 배출 얼라인 실패,듀얼스테이지2 배출 얼라인 실패,바 롤러에서 픽업 실패,바 얼라인 실패,바 매거진에서 바1개 픽업 실패,듀얼스테이지1 청소 실패(이물 감지),듀얼스테이지2 청소 실패(이물 감지),메인스테이지 청소 실패(이물 감지),1차PNP 1식 더미(상부) 픽업 실패,1차PNP 2식 더미(상부) 픽업 실패,1차PNP 1식 더미(하부) 픽업 실패,1차PNP 2식 더미(하부) 픽업 실패,더미 단변(1식) 얼라인 실패,더미 장변(2식) 얼라인 실패,더미 길이 차이 있어 더미제거길이 경고,더미 얼라인 결과 더미길이 이상값 발견,링프레임 돌출 감지,기타
12월 01일,105,161,236,131,351,318,2,1,47,134,0,14,51,27,15,68,42,35,3,21,21,6,10,8
12월 02일,117,144,238,191,538,325,0,0,17,43,0,51,29,9,9,24,44,31,0,15,9,10,12,4
12월 03일,128,132,352,280,373,378,0,1,7,140,0,81,33,12,34,27,32,35,0,29,45,5,13,2
12월 06일,82,124,310,168,254,358,4,3,1,144,0,40,34,13,23,28,25,29,0,7,50,3,4,25
12월 07일,90,167,199,286,784,556,1,4,2,38,0,131,18,55,50,58,30,74,0,35,4,9,20,3
12월 08일,145,239,215,232,608,473,0,0,10,15,3,63,18,35,6,25,30,30,1,13,17,3,16,7
12월 09일,145,128,195,188,817,559,0,0,8,30,0,52,78,61,5,73,25,62,1,16,23,8,36,12
12월 10일,165,126,235,305,765,710,7,0,0,14,3,74,30,106,6,26,91,45,0,56,10,17,17,10
12월 11일,184,167,221,293,944,961,0,0,1,27,4,59,41,34,11,31,99,29,1,23,11,9,17,15
12월 12일,225,233,287,292,757,634,0,8,2,61,0,14,72,29,13,59,50,104,1,18,5,5,19,17
12월 13일,132,169,167,223,647,548,15,0,0,19,0,31,78,12,5,119,28,78,0,21,3,5,15,11
12월 14일,158,197,200,251,612,536,1,9,2,16,1,19,36,40,3,68,29,131,0,16,8,5,29,9
