11-01,44.4,66.9,36.0,68.0,54.7,53.4,71.8,48.5,73.0,80.3,64.3,83.2,85.0
11-02,38.5,75.2,58.7,67.2,43.7,64.9,65.6,25.1,72.9,67.1,66.4,66.5,64.8
11-03,66.9,77.2,75.2,80.0,79.0,57.0,41.0,18.8,80.4,73.4,56.1,60.7,69.4
11-04,79.1,63.1,78.0,58.1,81.0,73.8,70.1,0.0,73.7,63.9,73.0,62.5,69.8
11-05,64.3,60.9,67.9,56.6,75.4,72.0,62.7,0.0,81.5,61.5,64.9,62.1,62.7
11-06,70.7,83.4,71.3,72.4,68.3,65.0,65.9,0.0,68.5,63.6,54.3,76.1,63.8
11-07,79.5,79.3,66.1,70.2,60.5,78.1,62.7,0.0,68.5,72.3,58.0,76.1,69.2
11-08,72.1,78.1,60.1,78.5,39.2,79.0,66.0,0.0,56.8,60.3,58.8,55.0,67.2
11-09,41.2,73.4,63.2,76.0,52.2,63.0,63.0,29.8,68.0,73.6,54.1,60.1,65.8
11-10,82.1,86.8,83.6,78.1,87.8,79.9,79.4,75.2,71.1,70.1,65.4,74.8,69.3
11-11,50.7,59.3,54.1,45.0,58.9,50.4,42.0,28.6,24.7,24.7,22.8,22.0,28.5
11-12,60.4,74.0,55.9,60.1,62.2,57.7,50.0,49.5,43.8,49.7,38.2,45.8,43.9
11-13,71.1,70.5,78.7,70.8,77.3,76.4,63.7,61.5,50.7,68.0,42.3,51.9,71.3
11-14,72.4,73.9,69.3,76.4,79.7,74.8,64.9,81.8,71.4,78.8,60.8,75.5,77.9
11-15,67.4,77.6,79.2,73.2,78.5,67.7,61.7,21.5,63.8,62.8,50.2,64.0,54.4
11-16,69.9,84.6,85.4,83.7,80.4,70.0,67.4,0.0,70.9,69.2,50.9,58.3,61.4
11-17,63.8,79.9,74.7,86.7,78.7,78.1,71.2,0.0,71.2,67.6,58.4,63.4,70.0
11-18,65.4,67.7,65.6,62.2,81.2,62.8,64.5,20.2,71.5,79.2,56.4,68.0,48.2
11-19,75.3,72.7,75.6,80.8,76.0,75.2,46.5,72.7,56.5,66.9,63.3,52.1,66.6
11-20,78.9,82.5,77.6,77.3,86.8,75.2,61.0,57.9,68.5,67.5,66.7,55.6,57.3
11-21,64.9,66.2,56.4,67.1,69.6,56.0,48.3,46.4,59.4,71.8,60.9,53.6,49.5
11-22,76.2,74.6,67.6,83.9,88.2,67.3,58.2,70.7,56.3,68.5,66.9,36.0,49.5
11-23,73.1,72.4,73.8,71.9,74.6,54.9,47.4,65.4,77.8,45.5,68.0,51.3,49.8
11-24,80.4,86.7,88.4,83.8,85.9,83.4,69.3,68.9,83.9,73.8,75.2,71.5,69.5
11-25,79.1,86.5,86.7,79.5,86.0,78.7,74.7,69.2,79.1,79.6,69.3,69.6,63.8
11-26,82.5,79.8,77.5,77.6,85.3,73.4,69.1,65.4,78.8,70.8,58.2,66.6,66.6
11-27,83.4,82.7,89.2,82.9,87.0,86.6,76.0,82.1,86.4,79.5,59.5,69.6,66.1
11-28,87.8,87.6,93.8,86.0,86.7,90.2,77.5,77.4,76.9,81.8,66.5,78.6,83.3
11-29,81.9,86.4,85.7,82.0,87.6,86.0,61.1,72.4,75.6,73.0,41.1,70.7,66.9
11-30,68.2,79.5,83.4,75.2,65.3,76.9,74.0,77.0,75.9,80.2,0.0,79.6,72.0
12-01,82.6,79.2,73.9,63.5,82.8,69.6,75.5,76.6,75.5,76.6,29.8,69.6,73.2
12-02,79.1,87.7,79.4,83.1,90.5,76.5,87.3,79.9,76.2,78.5,64.4,54.0,68.6
